"","VALUE","Freq","EVT_NAME","LFRDB","EVT_FUEL","EVT_FUEL_N","EVT_LF","EVT_PHYS","EVT_GP","EVT_GP_N","SAF_SRM","EVT_ORDER","EVT_CLASS","EVT_SBCLS","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",7292,2013,"Open Water",7292,11,"Ba Open Water","Water","Open Water",11,"Open Water","LF 11: Water","Non-vegetated","Non-vegetated","Non-vegetated",0,0,255,0,0,1,448,1.6
"2",7295,417,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",7295,32,"Bab Quarries-Strip Mines-Gravel Pits-Well and Wind Pads","Barren","Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",32,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads","LF 20: Developed","Non-vegetated","Non-vegetated","Developed",230,232,250,0.901961,0.909804,0.980392,93,0.3
"3",7296,1560,"Developed-Low Intensity",7296,2902,"Bau Developed-Low Intensity","Developed","Developed-Low Intensity",22,"Developed-Low Intensity","LF 20: Developed","No Dominant Lifeform","No Dominant Lifeform","Developed",255,122,143,1,0.478431,0.560784,347,1.2
"4",7297,2582,"Developed-Medium Intensity",7297,2903,"Bau Developed-Medium Intensity","Developed","Developed-Medium Intensity",23,"Developed-Medium Intensity","LF 20: Developed","No Dominant Lifeform","No Dominant Lifeform","Developed",253,44,79,0.992157,0.172549,0.309804,574,2.1
"5",7298,2843,"Developed-High Intensity",7298,2904,"Bau Developed-High Intensity","Developed","Developed-High Intensity",24,"Developed-High Intensity","LF 20: Developed","No Dominant Lifeform","No Dominant Lifeform","Developed",173,0,28,0.678431,0,0.109804,632,2.3
"6",7299,11109,"Developed-Roads",7299,2905,"Bau Developed-Roads","Developed","Developed-Roads",25,"Developed-Roads","LF 20: Developed","No Dominant Lifeform","No Dominant Lifeform","Developed",1,1,1,0.003922,0.003922,0.003922,2471,8.9
"7",7310,4080,"North-Central Interior Dry-Mesic Oak Forest and Woodland",7310,2310,"Tr North-Central Interior Dry-Mesic Oak Forest and Woodland","Tree","Hardwood",660,"White Oak-Red Oak-Hickory Forest and Woodland","SAF 52: White Oak-Black Oak-Northern Red Oak","Tree-dominated","Closed tree canopy","Deciduous closed tree canopy",85,187,194,0.333333,0.733333,0.760784,907,3.3
"8",7311,3798,"North-Central Interior Dry Oak Forest and Woodland",7311,2311,"Tr North-Central Interior Dry Oak Forest and Woodland","Tree","Hardwood",663,"Black Oak Woodland and Savanna","SAF 110: Black Oak","Tree-dominated","Open tree canopy","Deciduous open tree canopy",85,187,194,0.333333,0.733333,0.760784,845,3
"9",7314,1743,"North-Central Interior Maple-Basswood Forest",7314,2314,"Tr North-Central Interior Maple-Basswood Forest","Tree","Hardwood",655,"Beech-Maple-Basswood Forest","SAF 26: Sugar Maple-Basswood","Tree-dominated","Closed tree canopy","Deciduous closed tree canopy",171,255,138,0.670588,1,0.541176,388,1.4
"10",7412,53,"North-Central Interior Sand and Gravel Tallgrass Prairie",7412,2412,"He North-Central Interior Sand and Gravel Tallgrass Prairie","Herb","Grassland",649,"Tallgrass Prairie","SRM 601: Bluestem Prairie","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,137,64,1,0.537255,0.25098,12,0
"11",7421,3102,"Central Tallgrass Prairie",7421,2421,"He Central Tallgrass Prairie","Herb","Grassland",649,"Tallgrass Prairie","SRM 601: Bluestem Prairie","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,137,64,1,0.537255,0.25098,690,2.5
"12",7518,94,"North-Central Interior Wet Flatwoods",7518,2518,"Tr North-Central Interior Wet Flatwoods","Tree","Riparian",673,"Hardwood Flatwoods","SAF 65: Pin Oak-Sweetgum","Tree-dominated","Open tree canopy","Deciduous open tree canopy",145,255,115,0.568627,1,0.45098,21,0.1
"13",7905,778,"Eastern Cool Temperate Urban Deciduous Forest",7905,2913,"Dtd Urban Deciduous Forest","Tree","Developed",13,"Developed-Upland Deciduous Forest","LF 20: Developed","Tree-dominated","Open tree canopy","Deciduous open tree canopy",112,68,137,0.439216,0.266667,0.537255,173,0.6
"14",7906,5,"Eastern Cool Temperate Urban Evergreen Forest",7906,2914,"Dtc Urban Evergreen Forest","Tree","Developed",14,"Developed-Upland Evergreen Forest","LF 20: Developed","Tree-dominated","Open tree canopy","Evergreen open tree canopy",170,102,205,0.666667,0.4,0.803922,1,0
"15",7907,21,"Eastern Cool Temperate Urban Mixed Forest",7907,2915,"Dtm Urban Mixed Deciduous-Evergreen Forest","Tree","Developed",15,"Developed-Upland Mixed Forest","LF 20: Developed","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",194,158,215,0.760784,0.619608,0.843137,5,0
"16",7908,2679,"Eastern Cool Temperate Urban Herbaceous",7908,2916,"Dgr Urban Herbaceous","Herb","Developed",16,"Developed-Upland Herbaceous","LF 20: Developed","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid",202,122,245,0.792157,0.478431,0.960784,596,2.1
"17",7909,1081,"Eastern Cool Temperate Urban Shrubland",7909,2917,"Dsh Urban Shrubland","Shrub","Developed",17,"Developed-Upland Shrubland","LF 20: Developed","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",207,171,215,0.811765,0.670588,0.843137,240,0.9
"18",7925,20,"Eastern Cool Temperate Developed Deciduous Forest",7925,2908,"Dtd Developed Deciduous Forest","Tree","Developed",13,"Developed-Upland Deciduous Forest","LF 20: Developed","Tree-dominated","Open tree canopy","Deciduous open tree canopy",64,61,168,0.25098,0.239216,0.658824,4,0
"19",7927,17,"Eastern Cool Temperate Developed Mixed Forest",7927,2910,"Dtm Developed Mixed Deciduous-Evergreen Forest","Tree","Developed",15,"Developed-Upland Mixed Forest","LF 20: Developed","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",68,79,137,0.266667,0.309804,0.537255,4,0
"20",7928,2,"Eastern Cool Temperate Developed Shrubland",7928,2912,"Dsh Developed Shrubland","Shrub","Developed",17,"Developed-Upland Shrubland","LF 20: Developed","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",122,142,245,0.478431,0.556863,0.960784,0,0
"21",7929,285,"Eastern Cool Temperate Developed Herbaceous",7929,2911,"Dgr Developed Herbaceous","Herb","Developed",16,"Developed-Upland Herbaceous","LF 20: Developed","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid",158,170,215,0.619608,0.666667,0.843137,63,0.2
"22",7973,1,"Eastern Cool Temperate Row Crop - Close Grown Crop",7973,2963,"Da Row Crop - Close Grown Crop","Agriculture","Agricultural",63,"Agricultural-Row Crop-Close Grown Crop","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",255,245,140,1,0.960784,0.54902,0,0
"23",7974,2035,"Eastern Cool Temperate Row Crop",7974,2964,"Da Row Crop","Agriculture","Agricultural",64,"Agricultural-Row Crop","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",250,255,119,0.980392,1,0.466667,453,1.6
"24",7975,9,"Eastern Cool Temperate Close Grown Crop",7975,2965,"Da Close Grown Crop","Agriculture","Agricultural",65,"Agricultural-Close Grown Crop","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",255,237,119,1,0.929412,0.466667,2,0
"25",7976,18751,"Eastern Cool Temperate Fallow/Idle Cropland",7976,2966,"Dab Fallow/Idle Cropland","Herb","Agricultural",66,"Agricultural-Fallow/Idle Cropland","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",255,255,119,1,1,0.466667,4170,15
"26",7977,32205,"Eastern Cool Temperate Pasture and Hayland",7977,2967,"Dab Pasture and Hayland","Herb","Agricultural",67,"Agricultural-Pasture and Hayland","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",227,212,28,0.890196,0.831373,0.109804,7162,25.7
"27",7978,27,"Eastern Cool Temperate Wheat",7978,2968,"Da Wheat","Agriculture","Agricultural",68,"Agricultural-Wheat","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",250,227,163,0.980392,0.890196,0.639216,6,0
"28",9178,2304,"North-Central Interior and Appalachian Rich Swamp",9178,2479,"Tr Central Interior and Appalachian Swamp Systems","Tree","Riparian",694,"Atlantic Swamp Forests","SAF 39: Black Ash-American Elm-Red Maple","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",50,137,168,0.196078,0.537255,0.658824,512,1.8
"29",9179,3397,"North-Central Interior Floodplain Forest",9179,2471,"Tr Central Interior and Appalachian Floodplain Systems","Tree","Riparian",666,"Eastern Floodplain Forests","SAF 61: River Birch-Sycamore","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",0,92,0,0,0.360784,0,755,2.7
"30",9180,1383,"North-Central Interior Freshwater Marsh",9180,2493,"Sh Central Interior and Appalachian Shrub-Herbaceous Wetland Systems","Herb","Riparian",675,"Inland Marshes and Prairies","LF 45: Central Interior and Appalachian Herbaceous Wetland","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",91,195,199,0.356863,0.764706,0.780392,308,1.1
"31",9183,12,"North-Central Interior Shrub Swamp",9183,2493,"Sh Central Interior and Appalachian Shrub-Herbaceous Wetland Systems","Shrub","Riparian",675,"Inland Marshes and Prairies","LF 45: Central Interior and Appalachian Herbaceous Wetland","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",91,195,199,0.356863,0.764706,0.780392,3,0
"32",9314,235,"Northern & Central Native Ruderal Flooded & Swamp Forest",9314,2565,"Tr Northern & Central Native Ruderal Flooded & Swamp Forest","Tree","Riparian",740,"Ruderal Forest","LF 53: Ruderal Forest","Tree-dominated","Closed tree canopy","Mixed evergreen-deciduous closed tree canopy",255,105,46,1,0.411765,0.180392,52,0.2
"33",9315,1631,"Northern & Central Native Ruderal Forest",9315,2566,"Tr Northern & Central Native Ruderal Forest","Tree","Conifer-Hardwood",740,"Ruderal Forest","LF 53: Ruderal Forest","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",255,105,46,1,0.411765,0.180392,363,1.3
"34",9317,60,"Northern & Central Ruderal Shrubland",9317,2568,"Sh Northern & Central Ruderal Meadow & Shrubland","Shrub","Exotic Tree-Shrub",706,"Introduced Upland Vegetation-Shrub","LF 52: Introduced Upland Vegetation - Shrub","Shrub-dominated","Shrubland","Deciduous shrubland",255,105,46,1,0.411765,0.180392,13,0
"35",9318,430,"Northern & Central Ruderal Wet Meadow & Marsh",9318,2569,"He Northern & Central Ruderal Wet Meadow & Marsh","Herb","Riparian",709,"Introduced Herbaceous Wetland Vegetation","LF 59: Introduced Herbaceous Wetland and Riparian Vegetation","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,105,46,1,0.411765,0.180392,96,0.3
"36",9683,1572,"North-Central Interior Wet Meadow",9183,2493,"Sh Central Interior and Appalachian Shrub-Herbaceous Wetland Systems","Herb","Riparian",675,"Inland Marshes and Prairies","LF 45: Central Interior and Appalachian Herbaceous Wetland","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid",91,195,199,0.356863,0.764706,0.780392,350,1.3
"37",9817,23055,"Northern & Central Ruderal Meadow",9317,2568,"Sh Northern & Central Ruderal Meadow & Shrubland","Herb","Exotic Herbaceous",703,"Introduced Perennial Grassland and Forbland","LF 54: Introduced Upland Vegetation - Herbaceous","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,105,46,1,0.411765,0.180392,5127,18.4
